Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-08,695.0,700.0,685.0,700.0,5300,0,0
2022-06-09,700.0,700.0,690.0,690.0,6400,0,0
2022-06-10,680.0,680.0,680.0,680.0,100,0,0
2022-06-13,680.0,680.0,680.0,680.0,6300,0,0
2022-06-14,670.0,685.0,670.0,685.0,17000,0,0
2022-06-15,685.0,685.0,665.0,665.0,8800,0,0
2022-06-16,665.0,710.0,665.0,710.0,79200,0,0
2022-06-17,710.0,710.0,705.0,705.0,5200,0,0
2022-06-20,700.0,700.0,700.0,700.0,5500,0,0
2022-06-21,700.0,700.0,700.0,700.0,0,0,0
2022-06-22,700.0,700.0,695.0,695.0,1000,0,0
2022-06-23,705.0,705.0,695.0,695.0,6200,0,0
2022-06-24,695.0,695.0,695.0,695.0,0,0,0
2022-06-27,700.0,700.0,695.0,695.0,5100,0,0
2022-06-28,700.0,700.0,695.0,695.0,700,0,0
2022-06-29,695.0,695.0,690.0,690.0,3300,0,0
2022-06-30,690.0,690.0,690.0,690.0,800,0,0
2022-07-01,695.0,695.0,675.0,675.0,20600,0,0
2022-07-04,675.0,675.0,670.0,670.0,3800,0,0
2022-07-05,670.0,670.0,670.0,670.0,0,0,0
2022-07-06,675.0,675.0,675.0,675.0,500,0,0
2022-07-07,675.0,675.0,675.0,675.0,800,0,0
2022-07-08,675.0,675.0,670.0,670.0,8000,0,0
2022-07-11,670.0,670.0,670.0,670.0,1600,0,0
2022-07-12,675.0,675.0,675.0,675.0,600,0,0
2022-07-13,675.0,675.0,675.0,675.0,0,0,0
2022-07-14,680.0,680.0,680.0,680.0,1000,0,0
2022-07-15,680.0,680.0,675.0,675.0,5300,0,0
2022-07-18,675.0,675.0,675.0,675.0,14200,0,0
2022-07-19,675.0,675.0,675.0,675.0,20900,0,0
2022-07-20,675.0,675.0,675.0,675.0,57700,0,0
2022-07-21,675.0,675.0,675.0,675.0,0,0,0
2022-07-22,675.0,675.0,675.0,675.0,1000,0,0
2022-07-25,675.0,675.0,675.0,675.0,0,0,0
2022-07-26,675.0,675.0,670.0,670.0,1400,0,0
2022-07-27,670.0,670.0,660.0,660.0,4800,0,0
2022-07-28,660.0,660.0,655.0,655.0,1500,0,0
2022-07-29,655.0,655.0,655.0,655.0,100,0,0
2022-08-01,660.0,685.0,610.0,680.0,257300,0,0
2022-08-02,685.0,695.0,660.0,685.0,35000,0,0
2022-08-03,685.0,685.0,665.0,665.0,4800,0,0
2022-08-04,670.0,705.0,655.0,655.0,64900,0,0
2022-08-05,660.0,665.0,660.0,660.0,18200,0,0
2022-08-08,660.0,660.0,660.0,660.0,0,0,0
2022-08-09,665.0,710.0,665.0,705.0,94200,0,0
2022-08-10,705.0,705.0,665.0,705.0,31900,0,0
2022-08-11,705.0,705.0,670.0,670.0,5000,0,0
2022-08-12,675.0,690.0,675.0,675.0,21800,0,0
2022-08-15,675.0,700.0,660.0,695.0,436500,0,0
2022-08-16,700.0,735.0,680.0,705.0,491000,0,0
2022-08-18,705.0,705.0,675.0,675.0,12800,0,0
2022-08-19,680.0,690.0,670.0,685.0,18400,0,0
2022-08-22,685.0,685.0,670.0,670.0,4200,0,0
2022-08-23,670.0,670.0,645.0,645.0,6900,0,0
2022-08-24,650.0,650.0,645.0,650.0,700,0,0
2022-08-25,650.0,650.0,645.0,645.0,2300,0,0
2022-08-26,645.0,645.0,640.0,640.0,6300,0,0
2022-08-29,645.0,645.0,640.0,640.0,2300,0,0
2022-08-30,640.0,640.0,640.0,640.0,100,0,0
2022-08-31,640.0,640.0,640.0,640.0,1300,0,0
2022-09-01,640.0,640.0,640.0,640.0,300,0,0
2022-09-02,640.0,640.0,640.0,640.0,800,0,0
2022-09-05,640.0,640.0,640.0,640.0,1400,0,0
2022-09-06,640.0,640.0,640.0,640.0,800,0,0
2022-09-07,645.0,645.0,645.0,645.0,2700,0,0
2022-09-08,645.0,645.0,645.0,645.0,5700,0,0
2022-09-09,645.0,645.0,645.0,645.0,600,0,0
2022-09-12,645.0,645.0,645.0,645.0,500,0,0
2022-09-13,645.0,645.0,645.0,645.0,1800,0,0
2022-09-14,645.0,645.0,645.0,645.0,2200,0,0
2022-09-15,645.0,645.0,635.0,635.0,1400,0,0
2022-09-16,635.0,635.0,635.0,635.0,0,0,0
2022-09-19,635.0,635.0,635.0,635.0,100,0,0
2022-09-20,635.0,640.0,635.0,635.0,800,0,0
2022-09-21,635.0,635.0,635.0,635.0,200,0,0
2022-09-22,635.0,635.0,635.0,635.0,3200,0,0
2022-09-23,630.0,630.0,630.0,630.0,1100,0,0
2022-09-26,625.0,625.0,620.0,620.0,800,0,0
2022-09-27,620.0,620.0,620.0,620.0,0,0,0
2022-09-28,620.0,620.0,620.0,620.0,100,0,0
2022-09-29,620.0,620.0,620.0,620.0,0,0,0
2022-09-30,620.0,620.0,620.0,620.0,700,0,0
2022-10-03,625.0,625.0,625.0,625.0,1000,0,0
2022-10-04,625.0,625.0,625.0,625.0,0,0,0
2022-10-05,625.0,625.0,625.0,625.0,0,0,0
2022-10-06,625.0,625.0,625.0,625.0,200,0,0
2022-10-07,620.0,635.0,585.0,635.0,17700,0,0
2022-10-10,635.0,635.0,635.0,635.0,0,0,0
2022-10-11,635.0,635.0,635.0,635.0,0,0,0
2022-10-12,635.0,635.0,635.0,635.0,0,0,0
2022-10-13,630.0,630.0,620.0,620.0,700,0,0
2022-10-14,620.0,620.0,620.0,620.0,0,0,0
2022-10-17,620.0,620.0,620.0,620.0,0,0,0
2022-10-18,620.0,620.0,620.0,620.0,0,0,0
2022-10-19,620.0,620.0,620.0,620.0,0,0,0
2022-10-20,615.0,615.0,610.0,610.0,1400,0,0
2022-10-21,615.0,615.0,570.0,615.0,16800,0,0
2022-10-24,610.0,610.0,585.0,585.0,2100,0,0
2022-10-25,590.0,590.0,590.0,590.0,600,0,0
2022-10-26,585.0,585.0,580.0,580.0,300,0,0
2022-10-27,580.0,580.0,580.0,580.0,0,0,0
2022-10-28,580.0,585.0,580.0,580.0,1800,0,0
2022-10-31,575.0,575.0,575.0,575.0,100,0,0
2022-11-01,570.0,570.0,570.0,570.0,100,0,0
2022-11-02,565.0,565.0,535.0,535.0,5600,0,0
2022-11-03,535.0,535.0,535.0,535.0,0,0,0
2022-11-04,535.0,535.0,535.0,535.0,0,0,0
2022-11-07,535.0,535.0,535.0,535.0,300,0,0
2022-11-08,535.0,535.0,535.0,535.0,0,0,0
2022-11-09,535.0,535.0,535.0,535.0,0,0,0
2022-11-10,535.0,535.0,535.0,535.0,0,0,0
2022-11-11,535.0,535.0,535.0,535.0,0,0,0
2022-11-14,530.0,540.0,530.0,540.0,7600,0,0
2022-11-15,540.0,540.0,535.0,540.0,2300,0,0
2022-11-16,545.0,545.0,545.0,545.0,100,0,0
2022-11-17,540.0,540.0,535.0,535.0,700,0,0
2022-11-18,535.0,535.0,535.0,535.0,0,0,0
2022-11-21,535.0,535.0,535.0,535.0,200,0,0
2022-11-22,530.0,530.0,515.0,515.0,132900,0,0
2022-11-23,510.0,520.0,510.0,510.0,1800,0,0
2022-11-24,510.0,510.0,505.0,510.0,250300,0,0
2022-11-25,510.0,530.0,510.0,530.0,71500,0,0
2022-11-28,535.0,660.0,535.0,660.0,83700,0,0
2022-11-29,675.0,825.0,665.0,720.0,643500,0,0
2022-11-30,750.0,750.0,670.0,670.0,103900,0,0
2022-12-01,655.0,655.0,625.0,625.0,25600,0,0
2022-12-02,625.0,750.0,585.0,650.0,131800,0,0
2022-12-05,625.0,700.0,605.0,675.0,110400,0,0
2022-12-06,665.0,840.0,630.0,735.0,401100,0,0
2022-12-07,735.0,915.0,685.0,685.0,573500,0,0
2022-12-08,640.0,640.0,640.0,640.0,1600,0,0
2022-12-09,600.0,600.0,600.0,600.0,23400,0,0
2022-12-12,560.0,700.0,560.0,565.0,260900,0,0
2022-12-13,570.0,650.0,530.0,580.0,358800,0,0
2022-12-14,560.0,680.0,550.0,585.0,238600,0,0
2022-12-15,585.0,660.0,555.0,615.0,51500,0,0
2022-12-16,625.0,675.0,575.0,575.0,214000,0,0
2022-12-19,575.0,710.0,550.0,630.0,122000,0,0
2022-12-20,620.0,625.0,590.0,600.0,310500,0,0
2022-12-21,575.0,615.0,560.0,575.0,174600,0,0
2022-12-22,575.0,595.0,545.0,580.0,66900,0,0
2022-12-23,590.0,695.0,565.0,680.0,136300,0,0
2022-12-26,680.0,680.0,635.0,635.0,16100,0,0
2022-12-27,635.0,675.0,605.0,640.0,6000,0,0
2022-12-28,670.0,790.0,640.0,790.0,585700,0,0
2022-12-29,805.0,945.0,745.0,850.0,1727900,0,0
2022-12-30,810.0,900.0,805.0,805.0,333600,0,0
2023-01-02,805.0,870.0,800.0,830.0,203100,0,0
2023-01-03,850.0,870.0,810.0,820.0,106400,0,0
2023-01-04,850.0,900.0,800.0,900.0,120200,0,0
2023-01-05,875.0,900.0,840.0,840.0,65000,0,0
2023-01-06,850.0,1050.0,820.0,950.0,713400,0,0
2023-01-09,945.0,1185.0,945.0,1125.0,657700,0,0
2023-01-10,1135.0,1135.0,1050.0,1050.0,201700,0,0
2023-01-11,1040.0,1115.0,980.0,980.0,216400,0,0
2023-01-12,915.0,1200.0,915.0,970.0,483800,0,0
2023-01-13,920.0,1070.0,920.0,985.0,167600,0,0
2023-01-16,1000.0,1100.0,940.0,1080.0,326700,0,0
2023-01-17,1080.0,1350.0,1020.0,1350.0,720800,0,0
2023-01-18,1350.0,1685.0,1260.0,1260.0,782000,0,0
2023-01-19,1175.0,1260.0,1175.0,1175.0,284800,0,0
2023-01-20,1130.0,1130.0,1095.0,1095.0,39100,0,0
2023-01-24,1090.0,1095.0,1020.0,1020.0,40900,0,0
2023-01-25,1015.0,1015.0,950.0,950.0,219500,0,0
2023-01-26,885.0,905.0,885.0,885.0,85800,0,0
2023-01-27,825.0,825.0,825.0,825.0,121100,0,0
2023-01-30,770.0,995.0,770.0,965.0,1434900,0,0
2023-01-31,975.0,1100.0,945.0,965.0,633700,0,0
2023-02-01,970.0,1050.0,945.0,955.0,209300,0,0
2023-02-02,945.0,950.0,890.0,910.0,312500,0,0
2023-02-03,910.0,1135.0,900.0,1005.0,582600,0,0
2023-02-06,965.0,1100.0,935.0,1010.0,700900,0,0
2023-02-07,1010.0,1010.0,940.0,940.0,275600,0,0
2023-02-08,945.0,985.0,875.0,975.0,208100,0,0
2023-02-09,955.0,1000.0,940.0,990.0,106900,0,0
2023-02-10,990.0,1000.0,950.0,985.0,74100,0,0
2023-02-13,975.0,985.0,950.0,980.0,40500,0,0
2023-02-14,980.0,980.0,920.0,980.0,52500,0,0
2023-02-15,980.0,1150.0,950.0,1015.0,307600,0,0
2023-02-16,1005.0,1100.0,995.0,1025.0,85100,0,0
2023-02-17,1060.0,1245.0,1030.0,1110.0,437100,0,0
2023-02-20,1130.0,1200.0,1095.0,1180.0,137500,0,0
2023-02-21,1185.0,1300.0,1100.0,1140.0,473500,0,0
2023-02-22,1140.0,1250.0,1065.0,1090.0,218100,0,0
2023-02-23,1070.0,1120.0,1015.0,1015.0,218800,0,0
2023-02-24,985.0,1145.0,945.0,1000.0,420100,0,0
2023-02-27,1000.0,1000.0,940.0,970.0,1207500,0,0
2023-02-28,970.0,980.0,925.0,950.0,340600,0,0
2023-03-01,950.0,975.0,935.0,940.0,173600,0,0
2023-03-02,940.0,975.0,875.0,900.0,427600,0,0
2023-03-03,900.0,920.0,840.0,900.0,258700,0,0
2023-03-06,900.0,985.0,840.0,845.0,902700,0,0
2023-03-07,845.0,860.0,790.0,840.0,800700,0,0
2023-03-08,845.0,970.0,785.0,795.0,2722000,0,0
2023-03-09,785.0,920.0,740.0,740.0,1665700,0,0
2023-03-10,740.0,770.0,690.0,690.0,1515300,0,0
2023-03-13,655.0,850.0,645.0,775.0,657600,0,0
2023-03-14,755.0,755.0,725.0,725.0,1207300,0,0
2023-03-15,725.0,750.0,675.0,710.0,555000,0,0
2023-03-16,680.0,715.0,680.0,685.0,44900,0,0
2023-03-17,695.0,810.0,685.0,810.0,348400,0,0
2023-03-20,810.0,865.0,790.0,815.0,145700,0,0
2023-03-21,825.0,825.0,780.0,820.0,63300,0,0
2023-03-24,825.0,825.0,775.0,785.0,43700,0,0
